Date,Model,min,max,std
20230405,HMS-EB,1.5384941,1.9028955,0.11626878
20230405,HMS-TI,2.1536493,2.64061,0.16388504
20230405,iSnobal,0.12405133,3.3399956,0.5618891
20230405,LiDAR-2000,2.1144457,3.0534437,0.34801897
20230405,LiDAR,1.2132806,4.221282,0.54479855
20230405,SnowModel,1.0046586,3.365672,0.53507197
20240315,HMS-EB,1.2713822,1.432015,0.050957613
20240315,HMS-TI,1.9062923,2.352117,0.15499334
20240315,iSnobal,0.0,2.6101894,0.3675486
20240315,LiDAR-2000,1.3100656,2.0782058,0.2911476
20240315,LiDAR,0.6047789,3.051913,0.45095447
20240315,SnowModel,0.8588687,2.5357304,0.3758357
20240418,HMS-EB,1.0143816,1.298281,0.09220778
20240418,HMS-TI,1.126569,1.5136057,0.13155913
20240418,iSnobal,0.16815789,2.36722,0.32223004
20240418,LiDAR-2000,0.66446155,1.6302187,0.34814444
20240418,LiDAR,0.056386303,2.6110148,0.57828903
20240418,SnowModel,0.17891975,2.1197197,0.42118818
20250404,HMS-EB,1.5130644,1.8190235,0.10129439
20250404,HMS-TI,1.7360756,2.2360682,0.16358997
20250404,iSnobal,0.0,2.8420725,0.6380644
20250404,LiDAR-2000,1.4594003,2.8316123,0.4949956
20250404,LiDAR,0.3289714,3.9639285,0.7322504
20250404,SnowModel,0.7240664,3.1568158,0.5014076
20250501,HMS-EB,0.50879824,1.0954508,0.19914553
20250501,HMS-TI,1.0063373,1.7866501,0.26062226
20250501,iSnobal,0.0,2.3522449,0.674807
20250501,LiDAR-2000,0.5267232,1.5688082,0.41271168
20250501,LiDAR,0.0,3.0628097,0.7473801
20250501,SnowModel,0.0,2.6337948,0.5528878
