Task,Conditions,Date,Model,slope,intercept,rvalue,pvalue,stderr,RMSE,r-squared
Task 1,Baseline,20230405,HMS-Energy-Balance,0.21351045,1.1622353,0.591724,0.16165431,0.13008459,0.98638743,0.35013726
Task 1,Baseline,20230405,HMS-Temperature-Index,0.37187213,1.4227419,0.71696043,0.069796205,0.16170266,0.34559062,0.51403224
Task 1,Baseline,20230405,iSnobal,0.8566064,0.15175104,0.83752525,0.0,0.010582024,0.39361393,0.70144856
Task 1,Baseline,20230405,SnowModel,0.7844536,0.15155649,0.7874912,0.0,0.011752497,0.5603162,0.6201424
Task 2,Data Assimilation,20230405,HMS-Energy-Balance,0.20627984,1.2537109,0.70208925,0.078630485,0.09356506,0.9155064,0.4929293
Task 2,Data Assimilation,20230405,HMS-Temperature-Index,0.37791649,1.259249,0.583124,0.16939256,0.2354566,0.482083,0.3400336
Task 2,Data Assimilation,20230405,iSnobal,1.0259615,0.019031525,0.93000257,0.0,0.007677904,0.23853268,0.86490476
Task 2,Data Assimilation,20230405,SnowModel,0.926045,0.16837072,0.8354301,0.0,0.011661766,0.33317873,0.69794345
Task 1,Baseline,20240315,HMS-Energy-Balance,0.070956156,1.2404292,0.37188244,0.41140702,0.07920969,0.5099066,0.13829654
Task 1,Baseline,20240315,HMS-Temperature-Index,0.4491961,1.3346534,0.7958224,0.032302707,0.15285182,0.37711444,0.63333327
Task 1,Baseline,20240315,iSnobal,0.6744442,0.7190006,0.8319418,0.0,0.008636026,0.27707934,0.6921271
Task 1,Baseline,20240315,SnowModel,0.6772007,0.42944217,0.8012108,0.0,0.009744294,0.3184776,0.6419388
Task 2,Data Assimilation,20240315,HMS-Energy-Balance,0.09917073,1.2088192,0.41596538,0.35330826,0.096958734,0.49040082,0.1730272
Task 2,Data Assimilation,20240315,HMS-Temperature-Index,0.19632201,1.3892845,0.3491263,0.44275615,0.23565468,0.26325485,0.12188918
Task 2,Data Assimilation,20240315,iSnobal,0.8610594,0.13176453,0.9302875,0.0,0.0065186457,0.20746115,0.8654348
Task 2,Data Assimilation,20240315,SnowModel,0.806395,0.27239394,0.85560846,0.0,0.009399137,0.25182673,0.73206586
Task 1,Baseline,20240418,HMS-Energy-Balance,0.14458059,1.0079118,0.52623904,0.22500527,0.104479924,0.28702322,0.27692753
Task 1,Baseline,20240418,HMS-Temperature-Index,0.2114892,1.0957979,0.53767043,0.21322265,0.14831822,0.32398185,0.2890895
Task 1,Baseline,20240418,iSnobal,0.4759119,1.1650965,0.865739,0.0,0.005456978,0.62658733,0.74950397
Task 1,Baseline,20240418,SnowModel,0.6629537,0.34612703,0.89605755,0.0,0.0065467823,0.27987033,0.80291915
Task 2,Data Assimilation,20240418,HMS-Energy-Balance,0.13086376,1.0703139,0.5060452,0.24654467,0.0997488,0.2943584,0.25608176
Task 2,Data Assimilation,20240418,HMS-Temperature-Index,0.35717782,0.7356564,0.58256316,0.16990341,0.22286013,0.26406333,0.33937985
Task 2,Data Assimilation,20240418,iSnobal,0.97221786,-0.15508139,0.9052976,0.0,0.009047871,0.32487547,0.8195637
Task 2,Data Assimilation,20240418,SnowModel,0.7205438,0.3528207,0.89511234,0.0,0.0071535385,0.2626957,0.8012261
Task 1,Baseline,20250404,HMS-Energy-Balance,0.13681689,1.3993452,0.6055544,0.14958711,0.08040956,0.6808726,0.36669612
Task 1,Baseline,20250404,HMS-Temperature-Index,0.18352453,1.6311064,0.5066644,0.2458706,0.13965878,0.44790667,0.2567088
Task 1,Baseline,20250404,iSnobal,0.75504696,0.12625933,0.86457884,0.0,0.00855707,0.57353324,0.7474966
Task 1,Baseline,20250404,SnowModel,0.5899526,0.80970705,0.853686,0.0,0.007066348,0.42222968,0.72877973
Task 2,Data Assimilation,20250404,HMS-Energy-Balance,0.10698378,1.4969792,0.62203646,0.13581987,0.060224384,0.66240907,0.38692936
Task 2,Data Assimilation,20250404,HMS-Temperature-Index,0.22970463,1.3048261,0.44301388,0.31949234,0.20788582,0.59590334,0.1962613
Task 2,Data Assimilation,20250404,iSnobal,0.90875447,-0.06327677,0.9251471,0.0,0.0072709993,0.39263865,0.8558972
Task 2,Data Assimilation,20250404,SnowModel,0.7991268,0.5016935,0.9050665,0.0,0.007372505,0.3119971,0.8191453
Task 1,Baseline,20250501,HMS-Energy-Balance,0.405072,0.37864178,0.7893927,0.034777064,0.14087814,0.39803284,0.6231409
Task 1,Baseline,20250501,HMS-Temperature-Index,0.4751539,0.9037559,0.71127474,0.07310729,0.20999752,0.40029475,0.50591177
Task 1,Baseline,20250501,iSnobal,0.7463645,-0.0032327771,0.82611346,0.0,0.009750912,0.5318862,0.68246347
Task 1,Baseline,20250501,SnowModel,0.6904007,0.58236533,0.9155955,0.0,0.005839457,0.37708527,0.83831507
Task 2,Data Assimilation,20250501,HMS-Energy-Balance,0.26575658,0.9742105,0.7590975,0.047816537,0.1019218,0.31735563,0.57622904
Task 2,Data Assimilation,20250501,HMS-Temperature-Index,0.54989827,0.4775564,0.6659867,0.10241813,0.27545422,0.29072258,0.4435383
Task 2,Data Assimilation,20250501,iSnobal,0.8933849,-0.07515502,0.8697807,0.0,0.009707309,0.4395612,0.7565185
Task 2,Data Assimilation,20250501,SnowModel,0.87138915,0.52311766,0.9256248,0.0,0.0068614697,0.45909724,0.85678124
